Data Start: 2020-09-25 19:15:01
Data End: 2020-09-25 19:33:50
Devicename: Multi Plankton Sampler MPS
IdentNo.: 1020

Net []
Range1: 0 to 5

Pressure [dbar]
Range1: 0.0 to 3000.0  Cal0: -8.585877E+2  Cal1: 1.175972E-1  Cal2: -1.044298E-6  Cal3: -1.441992E+0  Cal4: 9.253807E-5  Cal5: -8.766143E-10  Cal6: 7.97392E-2  Cal7: 7.856609E-2  Cal8: -1.359118E-8

Volume [m³]
Range1: 0 to 65000  Cal0: 2.5E-1

Flow in [m/s]
Range1: 0.0000 to 9.9000

Flow out [m/s]
Range1: 0.0000 to 9.9000

Flow ratio [%]
Range1: 0.00 to 200.00

Header Comment

Ship:		
Cruise:		
Station:		
Cast:		
Position:		
Operator:		


Time [hh:mm:ss]	Net []	Pressure [dbar]	Volume [m³]	Flow in [m/s]	Flow out [m/s]	Flow ratio [%]	Comments  [Index]
19:15:01	0	-0.1	0	0.0000	0.0000	0.00	
19:15:02	0	-0.1	0	0.0000	0.0000	0.00	
19:15:03	0	-0.1	0	0.0000	0.0000	0.00	
19:15:04	0	-0.1	0	0.0000	0.0000	0.00	
19:15:05	0	-0.1	0	0.0000	0.0000	0.00	
19:15:06	0	-0.1	0	0.0000	0.0000	0.00	
19:15:07	0	-0.1	0	0.0000	0.0000	0.00	
19:15:08	0	-0.1	0	0.0000	0.0000	0.00	
19:15:09	0	-0.1	0	0.0000	0.0000	0.00	
19:15:10	0	-0.1	0	0.0000	0.0000	0.00	
19:15:11	0	-0.1	0	0.0000	0.0000	0.00	
19:15:12	0	-0.1	0	0.0000	0.0000	0.00	
19:15:13	0	-0.1	0	0.0000	0.0000	0.00	
19:15:14	0	-0.1	0	0.0000	0.0000	0.00	
19:15:15	0	-0.1	0	0.0000	0.0000	0.00	
19:15:16	0	-0.1	0	0.0000	0.0000	0.00	
19:15:17	0	0.0	0	0.0000	0.0000	0.00	
19:15:18	0	-0.1	0	0.0000	0.0000	0.00	
19:15:19	0	-0.1	0	0.0000	0.0000	0.00	
19:15:20	0	-0.1	0	0.0000	0.0000	0.00	
19:15:21	0	-0.1	0	0.0000	0.0000	0.00	
19:15:22	0	-0.1	0	0.0000	0.0000	0.00	
19:15:23	0	-0.1	0	0.0000	0.0000	0.00	
19:15:24	0	-0.1	0	0.0000	0.0000	0.00	
19:15:25	0	-0.1	0	0.0000	0.0000	0.00	
19:15:26	0	-0.1	0	0.0000	0.0000	0.00	
19:15:27	0	-0.1	0	0.0000	0.0000	0.00	
19:15:28	0	-0.1	0	0.0000	0.0000	0.00	
19:15:29	0	-0.1	0	0.0000	0.0000	0.00	
19:15:30	0	-0.1	0	0.0000	0.0000	0.00	
19:15:31	0	-0.1	0	0.0000	0.0000	0.00	
19:15:32	0	-0.1	0	0.0000	0.0000	0.00	
19:15:33	0	-0.1	0	0.0000	0.0000	0.00	
19:15:34	0	-0.1	0	0.0000	0.0000	0.00	
19:15:35	0	-0.1	0	0.0000	0.0000	0.00	
19:15:36	0	-0.1	0	0.0000	0.0000	0.00	
19:15:37	0	-0.1	0	0.0000	0.0000	0.00	
19:15:38	0	-0.1	0	0.0000	0.0000	0.00	
19:15:39	0	-0.1	0	0.0000	0.0000	0.00	
19:15:40	0	-0.1	0	0.0000	0.0000	0.00	
19:15:41	0	-0.1	0	0.0000	0.0000	0.00	
19:15:42	0	-0.1	0	0.0000	0.0000	0.00	
19:15:43	0	-0.1	0	0.0000	0.0000	0.00	
19:15:44	0	-0.1	0	0.0000	0.0000	0.00	
19:15:45	0	-0.1	0	0.0000	0.0000	0.00	
19:15:46	0	-0.1	0	0.0000	0.0000	0.00	
19:15:47	0	-0.1	0	0.0000	0.0000	0.00	
19:15:48	0	-0.1	0	0.0000	0.0000	0.00	
